seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12359,10,6,2514,2431,516.2788817933606,2686.46619789937,0.3850643671313184,0.681612505141917,0.023447141094199916,3.3194706840033943,0.053887289181406825
12360,10,6,2631,2546,508.5401483314617,2716.6667174745685,0.39989712216105155,0.6889238020424194,0.02631578947368421,3.3333722487846758,0.04988216810683425
12361,10,6,2589,2508,481.68380536084067,2810.8605917855602,0.39219863236896263,0.6774322169059012,0.02711323763955343,3.316439708433376,0.045454545454545456
12362,10,6,2517,2449,508.8876728215548,2585.992394634973,0.3899380340234778,0.7092690894242548,0.02000816659861168,3.3795179201458923,0.05512454062882809
12363,10,6,2547,2433,518.4434140933682,2853.5232228086443,0.38914118811475035,0.6954377311960542,0.02794903411426223,3.3288396707648915,0.04849979449239622
12364,10,6,2552,2457,447.43062370935894,2683.697624340553,0.3833524466896696,0.687016687016687,0.024013024013024013,3.334212883841313,0.04802604802604803
12365,10,6,2462,2379,516.2632490239582,3069.162497233636,0.3901012995945764,0.7162673392181589,0.028583438419503993,3.3581697736811957,0.05548549810844893
12366,10,6,2588,2506,512.7035036631521,2790.125012722474,0.3873274453142364,0.6967278531524341,0.025937749401436554,3.361547683823414,0.038707102952913006
12367,10,6,2461,2385,602.980833629352,3051.775717855214,0.3805667619360221,0.6951781970649895,0.027253668763102725,3.342502968727517,0.053668763102725364
12368,10,6,2468,2354,513.8106632545654,2504.3809936829675,0.3783063277609109,0.6898895497026338,0.029736618521665252,3.320764465353346,0.041206457094307564
12369,10,6,2541,2436,498.7155649451089,2840.1709291010247,0.3859867039986258,0.7093596059113301,0.022988505747126436,3.362957760567751,0.0480295566502463
12370,10,6,2522,2471,490.221388908952,2764.3893719351126,0.3777737539037932,0.688789963577499,0.024686361796843383,3.326596888300341,0.05139619587211655
12371,10,6,2580,2523,556.3960434814218,2766.510882550922,0.3879002739997806,0.6983749504558066,0.01823226317875545,3.3637547317463246,0.04954419342053112
12372,10,6,2495,2416,502.8199615247882,2731.7264649515737,0.3749666388633331,0.6928807947019867,0.025248344370860928,3.3414293542304563,0.054635761589403975
12373,10,6,2553,2468,472.97931035987125,2540.9090040628853,0.3836826216855423,0.6839546191247974,0.019448946515397084,3.3375152251378313,0.05226904376012966
