l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,voc_mean,fte_hours_per_day
8,4,2360.5333333333333,2132.233333333333,541.4197884696125,3492.7171658152606,0.4149226009509327,0.7596222322422779,3.440538301180307,96
8,6,2619.133333333333,2382.733333333333,496.89527612225817,2616.5597134913546,0.4674996904095149,0.6769007632234174,3.286373014563987,112
8,8,2869.633333333333,2630.8,357.0775301498551,1493.7902348082591,0.5171351266105826,0.6170217570774467,3.1818941728092027,128
10,4,2288.766666666667,2205.4666666666667,538.5910770290553,3494.448141673966,0.3452414302613003,0.7670411906563621,3.479002224920888,112
10,6,2550.233333333333,2464.733333333333,507.2063604900687,2740.2180828859264,0.38688725057593537,0.6933390936573901,3.3409251952963444,128
10,8,2795.266666666667,2710.4666666666667,383.967511272557,1716.5085106344086,0.4240546941596259,0.6294063890867576,3.2279692627418712,144
12,4,2281.4666666666667,2255.9,516.9378990912362,3395.033792909879,0.2934308035751234,0.7723592283761892,3.5010931069188547,128
12,6,2524.1666666666665,2499.733333333333,510.153248267677,2732.89933776077,0.32649658071565846,0.6949693080741439,3.3563118496776303,144
12,8,2762.866666666667,2738.8333333333335,385.92959479923263,1766.5756034088174,0.3566726884622595,0.6311138332780508,3.240685991466155,160
14,4,2268.9666666666667,2263.0,533.1186258682307,3516.817923256038,0.25215095234899215,0.7728870039173842,3.507176199814893,144
14,6,2513.3,2507.0666666666666,499.89795800343995,2656.0189424092764,0.27947309863185976,0.6920151815717509,3.3556117569907613,160
14,8,2758.0666666666666,2751.9333333333334,410.5296574765935,1879.1488340272415,0.30742505700331163,0.639108873714425,3.2568004954452108,176
